CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U74990KA2019PTC120560,FIRSTBOUNCE CORPORATE CONSULTING PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,18-01-2019,Karnataka,1000000.0,100000.0,74990,Real estate renting and business activities,"#252, ABHISHEK COMPLEX,17TH CROSS, SAMPIGE ROAD, MALLESHWARAM  ",ROC BANGALORE,chandrappaambiger@gmail.com,31-03-2019,31-03-2019
U55101KA2015PTC080166,OM RAJVANSH HOSPITALITY SERVICES PRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,07-05-2015,Karnataka,5000000.0,300000.0,55101,Hotels and restaurants,"NO. 24, NALANDA, 1ST FLOOR,PALACE GARDEN APARTMENTS, PALACE CROSS ROAD,  ",ROC BANGALORE,gul_gulrajraheja@yahoo.com,,
U29299KA2010PTC053131,KLIMA TECHNOLOGIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,06-04-2010,Karnataka,10000000.0,6100000.0,29299,Manufacturing,"OAK A-204, GODREJ WOODSMAN ESTATE,AMCO BATTERIES COMPOUND, BELLARY ROAD, HEBBAL,  ",ROC BANGALORE,info@klimatech.in,31-03-2019,31-03-2019
U74900KA2011PTC060615,S K DESIGNBUILD PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,27-09-2011,Karnataka,100000.0,100000.0,74900,Real estate renting and business activities,"No.1308/S, S.K Nele, 8th Cross,MCECHS Layout, NearShivaramakaranth Nagar, Rachenahalli  ",ROC BANGALORE,ananth54@gmail.com,31-03-2013,31-03-2013
U74999KA2017PTC107815,BLUEDROP ECOLOGICAL SOLUTIONS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,11-11-2017,Karnataka,1000000.0,100000.0,74999,Real estate renting and business activities,"No.105 4th MAINAMARJYOTHI LAYOUT, R T NAGAR  ",ROC BANGALORE,jngelo@gmail.com,,
U74900KA2000PLC027229,MEDI ASSIST HEALTHCARE SERVICES LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,07-06-2000,Karnataka,450500000.0,452570.0,74900,Real estate renting and business activities,"Tower D, 4th Floor, IBC Knowledge Park,4/1 Bannerghatta Road,  ",ROC BANGALORE,megha.matoo@mediassist.in,31-03-2019,31-03-2019
U63030KA2016PTC092762,EZRORA TECHNOLOGIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-05-2016,Karnataka,100000.0,100000.0,63030,Transport storage and communications,"601/F, Aaradhya Arcade, East WestCollege Road, Bharat Nagar, 1st Phase  ",ROC BANGALORE,write2rakshith@gmail.com,,
U45203KA1990PTC011236,HARA KHT ENTERPRISES PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,24-09-1990,Karnataka,2500000.0,1593000.0,45203,Construction,"NO.4609, HIGH POINT IV, 45,PALACE ROAD,  ",ROC BANGALORE,article6@casjassociates.com,31-03-2010,31-03-2010
U00367KA1994PTC016444,DARCEN GRAPHICSANDDESIGNS PRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,24-10-1994,Karnataka,500000.0,0.0,00367,Agriculture & allied,"305-C,BRIGADE MANSION,19CHURCH STREETBANGALORE-1  ",ROC BANGALORE,,,
U74900KA2015PTC083177,C.H. TECHNOLOGY SOLUTIONS INDIA PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,07-10-2015,Karnataka,500000.0,100000.0,74900,Real estate renting and business activities,"No.3114 A, 2nd Floor, 18th CrossBSK 2nd Stage  ",ROC BANGALORE,pvish@chtsinc.com,31-03-2019,31-03-2019
U74900KA2011PTC060830,SALAR ONLINE WHOLESALE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,14-10-2011,Karnataka,100000000.0,75752540.0,74900,Real estate renting and business activities,"No 728, 3rd Floor, Grace PlatinaCMH Road, Indiranagar  ",ROC BANGALORE,finance@20north.com,31-03-2014,31-03-2016
U70103KA2019PTC129698,MAHARAJA SPACES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,16-11-2019,Karnataka,1000000.0,100000.0,70103,Real estate renting and business activities,"N0 103, 2nd Floor, 21st Main 22nd Cross,Judicial Layout, Yelahanka  ",ROC BANGALORE,viveknaidu.g@gmail.com,,
U67190KA2005PTC036512,INVENTURES ADVISORS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,09-06-2005,Karnataka,1000000.0,100000.0,67190,Financial intermediation,"1ST FLOOR, NO.99, B CROSS,5TH BLOCKKORAMANGALA INDL. ESTATE, BANGALORE  ",ROC BANGALORE,,,
U51100KA2018PLC117702,SK FORTUNE BUSINESS SOLUTION LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,17-10-2018,Karnataka,1000000.0,100000.0,51100,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"Unit-306A, 3rd Floor,Cears Plaza, # 136 Residency Road,  ",ROC BANGALORE,tabrez@skbizsolution.com,,
U74120KA2014PTC074380,YALI DIGITAL SOLUTIONS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,25-03-2014,Karnataka,100000.0,100000.0,74120,Real estate renting and business activities,"NO.A-427,SUMADHURA SANDOVAL,THUBRAHALLIKUNDANAHALLI GATE  ",ROC BANGALORE,ponmurugesh@gmail.com,,
U73200KA2017PTC100686,HANUGEN THERAPEUTICS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-02-2017,Karnataka,1000000.0,100000.0,73200,Real estate renting and business activities,"3 #7, BALAJI ARCADENEW BEL ROAD C M HALLI  ",ROC BANGALORE,manjulamuniraju34@gmail.com,31-03-2018,31-03-2018
U74300KA2015PTC078554,ADPRIME MEDIA DIGITAL NETWORK PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,28-01-2015,Karnataka,100000.0,100000.0,74300,Real estate renting and business activities,"# 248, 3rd Floor80Ft Road, Defence Coloney, Indira Nagar  ",ROC BANGALORE,j.mohan@ibtimes.com,31-03-2019,31-03-2019
U74900KA2014PTC076670,GENERIX SOFTWARE LABS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-10-2014,Karnataka,100000.0,100000.0,74900,Real estate renting and business activities,"A-602, PLATINUM LIFESTYLE APARTMENT,80 FEET ROAD, ASHRAYA COLONY, J P NAGAR, 8TH PHASE  ",ROC BANGALORE,shivprasad.khillar@gmail.com,31-03-2019,31-03-2019
U00372KA1983PTC005152,COACH CRAFT (BANGALORE) PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,01-02-1983,Karnataka,1000000.0,200.0,00372,Agriculture & allied,NO.3 F STREET  BEHIND MEDICALCOLLEGE KALASIPALYAMBANGALORE-2  ,ROC BANGALORE,,,
U74920KA1990PTC011074,FORERUNNAR SECURITY PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,18-07-1990,Karnataka,100000.0,200.0,74920,Real estate renting and business activities,"NO. 33, CHORD ROAD,OPP POWERHOUSE, RAJAJINAGAR,  ",ROC BANGALORE,,,
U74999KA2017OPC106564,MIGA ELOQUAY (OPC) PRIVATE LIMITED   ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,20-09-2017,Karnataka,1000000.0,100000.0,74999,Real estate renting and business activities,"FLAT. NO.001, GROUND FLOOR, AMIT ASHISH RESIDENCY3RD A MAIN, RAMAIAH LAYOUT, KAMMANAHALLI  ",ROC BANGALORE,G.MIGA1215@GMAIL.COM,31-03-2018,31-03-2018
U70101KA1994PTC015835,TRINITY ESTATES AND DEVELOPERS PRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,30-06-1994,Karnataka,300000.0,300000.0,70101,Real estate renting and business activities,"35,2ND CROSS,DA COASTA SQUARE,COOKE TOWN,  ",ROC BANGALORE,alexresorts2002@yahoo.co.in,31-03-2010,31-03-2010
U80903KA2012PTC062796,TECHMANTRA COMPUTERS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,01-03-2012,Karnataka,100000.0,100000.0,80903,Education,"FLAT NO.3054, 11TH MAIN, 11TH CROSS, HAL2ND STAGE, INDIRANAGAR POST  ",ROC BANGALORE,dilip_varma_2000@yahoo.com,31-03-2015,31-03-2015
U74999KA2000PTC033221,DNA CONSULTING (INDIA) PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,28-02-2000,Karnataka,5000000.0,2188640.0,74999,Real estate renting and business activities,DNA HOUSE 34/3 MEANEE AVENUE ROADOPP LAKESIDE HOSPITAL ULSOOR  ,ROC BANGALORE,natesans@dnaglobaldesign.in,31-03-2013,31-03-2013
U31104KA2012PTC066151,SAHYADRI ELECTRO CONTROLS (INDIA)PRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,03-10-2012,Karnataka,1000000.0,100000.0,31104,Manufacturing,"No. 10, Vinay Complex, I Cross, Rajgopalnagar MainRoad, Ganapatinagar, III Phase, Peenya Indl Area,  ",ROC BANGALORE,ca.jsudarshan11@gmail.com,31-03-2019,31-03-2019
U72200KA2019PTC125918,ITGENICS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,05-07-2019,Karnataka,1000000.0,100000.0,72200,Real estate renting and business activities,"No.473D 3rd Floor, 5A, 13th Cross Rd,YeshwanthpurSuburbIIStage, PeenyaIndustrialAreaPhase IV,Peenya  ",ROC BANGALORE,anoopkp2006@gmail.com,,
U74140KA2006PTC039033,NPN CORPORATE ADVISORS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,18-04-2006,Karnataka,100000.0,100000.0,74140,Real estate renting and business activities,"No.75, 3rd Floor, 5th Main, Bull Temple Road Extn,Thyagaraja Nagar, 3rd Block,  ",ROC BANGALORE,nco_roc@ymail.com,31-03-2019,31-03-2019
U02411KA1995PTC017421,BELGAUM SANDS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,21-03-1995,Karnataka,1000000.0,320000.0,02411,Agriculture & allied,"R S NO.589,PLOT NO.4,MACHHE IND ESTATE,BELGAUM.  ",ROC BANGALORE,belgaumsands@bsnl.in,31-03-2019,31-03-2019
U27101KA2012PTC062870,MASS FERRO CASTINGS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,07-03-2012,Karnataka,2000000.0,800000.0,27101,Manufacturing,"KAMADENU NILALYA, 10TH CROSS,MATHANGYAMMA ROAD, VIDYANAGARA  ",ROC BANGALORE,SNSHASHIKUMAR@YAHOO.COM,,
U72200KA2000PTC026704,COSMIC TECHNOLOGIES & SOFTSYSTEMS PRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,22-03-2000,Karnataka,1000000.0,200.0,72200,Real estate renting and business activities,"NO 48,AKKIPET MAIN ROAD  ",ROC BANGALORE,,,
U74999KA2017PTC104839,AL NAJAH EVENTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-07-2017,Karnataka,100000.0,100000.0,74999,Real estate renting and business activities,"No.1,3rd Cross,Basavanagar,Khushal NagarKadugondanahalli Main Road  ",ROC BANGALORE,muhammed@alnajah-events.com,,
